2	35718.05	75.76
2.2	17882.56	43.54
2.4	8619.02	24.47
2.6	3961.36	13.53
2.8	1694.56	7.33
3	633.868	4.075
3.2	163.942	2.057
3.4	-26.074	0.919
3.5	-67.661	0.627
3.6	-89.306	0.464
3.65	-95.001	0.4
3.7	-98.108	0.352
3.75	-99.291	0.318
3.8	-98.953	0.294
3.85	-97.454	0.274
3.9	-95.084	0.257
4	-88.726	0.221
4.2	-73.024	0.155
4.4	-57.836	0.12
4.6	-45.031	0.091
4.8	-34.847	0.074
5	-26.98	0.059
5.3	-18.538	0.037
5.6	-12.97	0.03
6	-8.281	0.02
6.5	-4.938	0.013
7	-3.0759	0.0079
8	-1.326	0.0038
10	-0.3321	0.0007
12	-0.10881	0.0002
14	-0.04267	0.0001
16	-0.01898	0.00003
20	-0.00491	0.00001
