EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               104.26060
energy('Ar704000.00')                                                                               90.34469
energy('Ar748000.00')                                                                               68.07308
energy('Ar770000.00')                                                                               46.68593
energy('Ar792000.00')                                                                               17.39769
energy('Ar803000.00')                                                                               2.01318
energy('Ar814000.00')                                                                               -13.21638
energy('Ar825000.00')                                                                               -27.47149
energy('Ar836000.00')                                                                               -39.70208
energy('Ar847000.00')                                                                               -49.94615
energy('Ar858000.00')                                                                               -58.20907
energy('Ar880000.00')                                                                               -72.34812
energy('Ar924000.00')                                                                               -91.86328
energy('Ar968000.00')                                                                               -91.05114
energy('Ar1012000.00')                                                                              -85.08938
energy('Ar1056000.00')                                                                              -70.07701
energy('Ar1100000.00')                                                                              -56.07497
energy('Ar1166000.00')                                                                              -40.81789
energy('Ar1232000.00')                                                                              -18.94634
energy('Ar1320000.00')                                                                              0.54502
energy('Ar1430000.00')                                                                              18.06598
energy('Ar1540000.00')                                                                              32.44500
energy('Ar1760000.00')                                                                              46.47892
energy('Ar2200000.00')                                                                              89.89545
energy('Ar2640000.00')                                                                              117.86315
energy('Ar3080000.00')                                                                              98.39625
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
