EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               101.14037
energy('Ar704000.00')                                                                               87.93340
energy('Ar748000.00')                                                                               66.11280
energy('Ar770000.00')                                                                               45.07419
energy('Ar792000.00')                                                                               16.30840
energy('Ar803000.00')                                                                               1.19539
energy('Ar814000.00')                                                                               -13.74417
energy('Ar825000.00')                                                                               -27.70514
energy('Ar836000.00')                                                                               -39.65763
energy('Ar847000.00')                                                                               -49.65065
energy('Ar858000.00')                                                                               -57.69099
energy('Ar880000.00')                                                                               -71.43439
energy('Ar924000.00')                                                                               -90.23905
energy('Ar968000.00')                                                                               -89.00789
energy('Ar1012000.00')                                                                              -82.69071
energy('Ar1056000.00')                                                                              -67.55672
energy('Ar1100000.00')                                                                              -53.42812
energy('Ar1166000.00')                                                                              -37.63633
energy('Ar1232000.00')                                                                              -16.00352
energy('Ar1320000.00')                                                                              3.56842
energy('Ar1430000.00')                                                                              21.01809
energy('Ar1540000.00')                                                                              35.60501
energy('Ar1760000.00')                                                                              49.46939
energy('Ar2200000.00')                                                                              94.18709
energy('Ar2640000.00')                                                                              122.90354
energy('Ar3080000.00')                                                                              102.39639
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
