EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               101.10420
energy('Ar704000.00')                                                                               87.96884
energy('Ar748000.00')                                                                               66.25227
energy('Ar770000.00')                                                                               45.28379
energy('Ar792000.00')                                                                               16.58290
energy('Ar803000.00')                                                                               1.50477
energy('Ar814000.00')                                                                               -13.40468
energy('Ar825000.00')                                                                               -27.34405
energy('Ar836000.00')                                                                               -39.28382
energy('Ar847000.00')                                                                               -49.26797
energy('Ar858000.00')                                                                               -57.30273
energy('Ar880000.00')                                                                               -71.02785
energy('Ar924000.00')                                                                               -89.77581
energy('Ar968000.00')                                                                               -88.53378
energy('Ar1012000.00')                                                                              -82.19609
energy('Ar1056000.00')                                                                              -67.07447
energy('Ar1100000.00')                                                                              -52.94654
energy('Ar1166000.00')                                                                              -37.08527
energy('Ar1232000.00')                                                                              -15.50929
energy('Ar1320000.00')                                                                              4.06344
energy('Ar1430000.00')                                                                              21.49272
energy('Ar1540000.00')                                                                              36.10785
energy('Ar1760000.00')                                                                              49.94054
energy('Ar2200000.00')                                                                              94.85926
energy('Ar2640000.00')                                                                              123.69189
energy('Ar3080000.00')                                                                              103.02178
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
