EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               170.27436
energy('Ar704000.00')                                                                               105.86145
energy('Ar748000.00')                                                                               18.70827
energy('Ar770000.00')                                                                               -47.06333
energy('Ar792000.00')                                                                               -120.36130
energy('Ar803000.00')                                                                               -159.27030
energy('Ar814000.00')                                                                               -195.61417
energy('Ar825000.00')                                                                               -226.27952
energy('Ar836000.00')                                                                               -249.71485
energy('Ar847000.00')                                                                               -268.60671
energy('Ar858000.00')                                                                               -283.26138
energy('Ar880000.00')                                                                               -313.43511
energy('Ar924000.00')                                                                               -375.12953
energy('Ar968000.00')                                                                               -386.54897
energy('Ar1012000.00')                                                                              -397.28384
energy('Ar1056000.00')                                                                              -377.12980
energy('Ar1100000.00')                                                                              -364.60825
energy('Ar1166000.00')                                                                              -396.10895
energy('Ar1232000.00')                                                                              -338.90126
energy('Ar1320000.00')                                                                              -321.03242
energy('Ar1430000.00')                                                                              -291.05264
energy('Ar1540000.00')                                                                              -295.52354
energy('Ar1760000.00')                                                                              -261.25113
energy('Ar2200000.00')                                                                              -349.50269
energy('Ar2640000.00')                                                                              -397.58351
energy('Ar3080000.00')                                                                              -310.52317
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
